time,x,y,z,error_x,error_y,error_z
0.1,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.2,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.30000000000000004,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.4,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.5,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.6000000000000001,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.7000000000000001,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.8,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.9,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.0,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.1,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.2000000000000002,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.3,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.4000000000000001,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.5,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.6,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.7000000000000002,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.8,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.9000000000000001,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.0,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.1,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.2,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.3000000000000003,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.4000000000000004,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.5,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.6,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.7,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.8000000000000003,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.9000000000000004,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.0,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.1,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.2,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.3000000000000003,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.4000000000000004,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.5,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.6,-79.92,-49.95,1.999089552238806,-79.92,-49.95,0.9990895522388059
3.7,-79.84,-49.900000000000006,1.9981791044776118,-79.84,-49.900000000000006,0.9981791044776118
3.8000000000000003,-79.76,-49.85000000000001,1.9972686567164177,-79.76,-49.85000000000001,0.9972686567164177
3.9000000000000004,-79.68,-49.80000000000001,1.9963582089552236,-79.68,-49.80000000000001,0.9963582089552236
4.0,-79.60000000000001,-49.750000000000014,1.9954477611940296,-79.60000000000001,-49.750000000000014,0.9954477611940296
4.1000000000000005,-79.52000000000001,-49.70000000000002,1.9945373134328355,-79.52000000000001,-49.70000000000002,0.9945373134328355
4.2,-79.44000000000001,-49.65000000000002,1.9936268656716414,-79.44000000000001,-49.65000000000002,0.9936268656716414
4.3,-79.36000000000001,-49.60000000000002,1.9927164179104473,-79.36000000000001,-49.60000000000002,0.9927164179104473
4.4,-79.28000000000002,-49.550000000000026,1.9918059701492532,-79.28000000000002,-49.550000000000026,0.9918059701492532
4.5,-79.20000000000002,-49.50000000000003,1.9908955223880591,-79.20000000000002,-49.50000000000003,0.9908955223880591
4.6000000000000005,-79.12000000000002,-49.45000000000003,1.989985074626865,-79.12000000000002,-49.45000000000003,0.989985074626865
4.7,-79.04000000000002,-49.400000000000034,1.989074626865671,-79.04000000000002,-49.400000000000034,0.9890746268656709
4.800000000000001,-78.96000000000002,-49.35000000000004,1.9881641791044768,-78.96000000000002,-49.35000000000004,0.9881641791044768
4.9,-78.88000000000002,-49.30000000000004,1.9872537313432828,-78.88000000000002,-49.30000000000004,0.9872537313432828
5.0,-78.80100000000003,-49.25000000000004,1.9863432835820887,-78.80100000000003,-49.25000000000004,0.9863432835820887
5.1000000000000005,-78.72200000000004,-49.200000000000045,1.9854328358208946,-78.72200000000004,-49.200000000000045,0.9854328358208946
5.2,-78.64300000000004,-49.15000000000005,1.9845223880597005,-78.64300000000004,-49.15000000000005,0.9845223880597005
5.300000000000001,-78.56400000000005,-49.10000000000005,1.9836119402985064,-78.56400000000005,-49.10000000000005,0.9836119402985064
5.4,-78.48500000000006,-49.050000000000054,1.9827014925373123,-78.48500000000006,-49.050000000000054,0.9827014925373123
5.5,-78.40600000000006,-49.00000000000006,1.9817910447761182,-78.40600000000006,-49.00000000000006,0.9817910447761182
5.6000000000000005,-78.32700000000007,-48.95000000000006,1.9808805970149241,-78.32700000000007,-48.95000000000006,0.9808805970149241
5.7,-78.24800000000008,-48.90000000000006,1.97997014925373,-78.24800000000008,-48.90000000000006,0.97997014925373
5.800000000000001,-78.16900000000008,-48.85100000000006,1.979059701492536,-78.16900000000008,-48.85100000000006,0.979059701492536
5.9,-78.09000000000009,-48.80200000000006,1.9781492537313419,-78.09000000000009,-48.80200000000006,0.9781492537313419
6.0,-78.0110000000001,-48.753000000000064,1.9772388059701478,-78.0110000000001,-48.753000000000064,0.9772388059701478
6.1000000000000005,-77.9320000000001,-48.704000000000065,1.9763283582089537,-77.9320000000001,-48.704000000000065,0.9763283582089537
6.2,-77.85300000000011,-48.655000000000065,1.9754179104477596,-77.85300000000011,-48.655000000000065,0.9754179104477596
6.300000000000001,-77.7750000000001,-48.606000000000066,1.9745074626865655,-77.7750000000001,-48.606000000000066,0.9745074626865655
6.4,-77.6970000000001,-48.557000000000066,1.9735970149253714,-77.6970000000001,-48.557000000000066,0.9735970149253714
6.5,-77.6190000000001,-48.50800000000007,1.9726865671641773,-77.6190000000001,-48.50800000000007,0.9726865671641773
6.6000000000000005,-77.5410000000001,-48.45900000000007,1.9717761194029833,-77.5410000000001,-48.45900000000007,0.9717761194029833
6.7,-77.4630000000001,-48.41000000000007,1.9708656716417892,-77.4630000000001,-48.41000000000007,0.9708656716417892
6.800000000000001,-77.38500000000009,-48.36100000000007,1.969955223880595,-77.38500000000009,-48.36100000000007,0.9699552238805951
6.9,-77.30700000000009,-48.31200000000007,1.969044776119401,-77.30700000000009,-48.31200000000007,0.969044776119401
7.0,-77.22900000000008,-48.26300000000007,1.968134328358207,-77.22900000000008,-48.26300000000007,0.9681343283582069
7.1000000000000005,-77.15100000000008,-48.21400000000007,1.9672238805970128,-77.15100000000008,-48.21400000000007,0.9672238805970128
7.2,-77.07300000000008,-48.16500000000007,1.9663134328358187,-77.07300000000008,-48.16500000000007,0.9663134328358187
7.300000000000001,-76.99500000000008,-48.11600000000007,1.9654029850746246,-76.99500000000008,-48.11600000000007,0.9654029850746246
7.4,-76.91700000000007,-48.06700000000007,1.9644925373134305,-76.91700000000007,-48.06700000000007,0.9644925373134305
7.5,-76.84000000000007,-48.01800000000007,1.9635820895522365,-76.84000000000007,-48.01800000000007,0.9635820895522365
7.6000000000000005,-76.76300000000008,-47.96900000000007,1.9626716417910424,-76.76300000000008,-47.96900000000007,0.9626716417910424
