run_id,trial_id,kp,initial_x,initial_y,initial_z,time_to_dock,final_x,final_y,final_z,success
20260828_122034,1,0.2,80.0,50.0,2.0,22.3,0.580000000000009,0.9799999999999938,1.014301602078686,True
20260828_122408,2,0.2,-100.0,-100.0,1.5,17.8,-0.9399999999999943,-0.9399999999999943,1.028904847674371,True
20260828_122720,3,0.2,50.0,-30.0,0.5,16.900000000000002,0.9600000000000017,0.6799999999999988,1.0171449320643509,True
