time,x,y,z,error_x,error_y,error_z
0.1,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.2,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.30000000000000004,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.4,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.5,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.6000000000000001,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.7000000000000001,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.8,-80.0,-50.0,2.0,-80.0,-50.0,1.0
0.9,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.0,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.1,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.2000000000000002,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.3,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.4000000000000001,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.5,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.6,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.7000000000000002,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.8,-80.0,-50.0,2.0,-80.0,-50.0,1.0
1.9000000000000001,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.0,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.1,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.2,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.3000000000000003,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.4000000000000004,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.5,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.6,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.7,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.8000000000000003,-80.0,-50.0,2.0,-80.0,-50.0,1.0
2.9000000000000004,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.0,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.1,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.2,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.3000000000000003,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.4000000000000004,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.5,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.6,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.7,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.8000000000000003,-80.0,-50.0,2.0,-80.0,-50.0,1.0
3.9000000000000004,-80.0,-50.0,2.0,-80.0,-50.0,1.0
4.0,-80.0,-50.0,2.0,-80.0,-50.0,1.0
4.1000000000000005,-80.0,-50.0,2.0,-80.0,-50.0,1.0
4.2,-80.0,-50.0,2.0,-80.0,-50.0,1.0
4.3,-80.0,-50.0,2.0,-80.0,-50.0,1.0
4.4,-80.0,-50.0,2.0,-80.0,-50.0,1.0
4.5,-80.0,-50.0,2.0,-80.0,-50.0,1.0
4.6000000000000005,-79.992,-49.995,1.9999089552238807,-79.992,-49.995,0.9999089552238807
4.7,-79.98400000000001,-49.989999999999995,1.9998179104477614,-79.98400000000001,-49.989999999999995,0.9998179104477614
4.800000000000001,-79.97600000000001,-49.98499999999999,1.999726865671642,-79.97600000000001,-49.98499999999999,0.999726865671642
4.9,-79.96800000000002,-49.97999999999999,1.9996358208955227,-79.96800000000002,-49.97999999999999,0.9996358208955227
5.0,-79.96000000000002,-49.97499999999999,1.9995447761194034,-79.96000000000002,-49.97499999999999,0.9995447761194034
5.1000000000000005,-79.95200000000003,-49.969999999999985,1.999453731343284,-79.95200000000003,-49.969999999999985,0.9994537313432841
5.2,-79.94400000000003,-49.96499999999998,1.9993626865671648,-79.94400000000003,-49.96499999999998,0.9993626865671648
5.300000000000001,-79.93600000000004,-49.95999999999998,1.9992716417910454,-79.93600000000004,-49.95999999999998,0.9992716417910454
5.4,-79.92800000000004,-49.95499999999998,1.9991805970149261,-79.92800000000004,-49.95499999999998,0.9991805970149261
5.5,-79.92000000000004,-49.949999999999974,1.9990895522388068,-79.92000000000004,-49.949999999999974,0.9990895522388068
5.6000000000000005,-79.91200000000005,-49.94499999999997,1.9989985074626875,-79.91200000000005,-49.94499999999997,0.9989985074626875
5.7,-79.90400000000005,-49.93999999999997,1.9989074626865682,-79.90400000000005,-49.93999999999997,0.9989074626865682
5.800000000000001,-79.89600000000006,-49.93499999999997,1.9988164179104488,-79.89600000000006,-49.93499999999997,0.9988164179104488
5.9,-79.88800000000006,-49.929999999999964,1.9987253731343295,-79.88800000000006,-49.929999999999964,0.9987253731343295
6.0,-79.88000000000007,-49.92499999999996,1.9986343283582102,-79.88000000000007,-49.92499999999996,0.9986343283582102
6.1000000000000005,-79.87200000000007,-49.91999999999996,1.9985432835820909,-79.87200000000007,-49.91999999999996,0.9985432835820909
6.2,-79.86400000000008,-49.91499999999996,1.9984522388059716,-79.86400000000008,-49.91499999999996,0.9984522388059716
6.300000000000001,-79.85600000000008,-49.909999999999954,1.9983611940298522,-79.85600000000008,-49.909999999999954,0.9983611940298522
6.4,-79.84800000000008,-49.90499999999995,1.998270149253733,-79.84800000000008,-49.90499999999995,0.9982701492537329
6.5,-79.84000000000009,-49.89999999999995,1.9981791044776136,-79.84000000000009,-49.89999999999995,0.9981791044776136
6.6000000000000005,-79.8320000000001,-49.894999999999946,1.9980880597014943,-79.8320000000001,-49.894999999999946,0.9980880597014943
6.7,-79.8240000000001,-49.889999999999944,1.997997014925375,-79.8240000000001,-49.889999999999944,0.997997014925375
6.800000000000001,-79.8160000000001,-49.88499999999994,1.9979059701492556,-79.8160000000001,-49.88499999999994,0.9979059701492556
6.9,-79.8080000000001,-49.87999999999994,1.9978149253731363,-79.8080000000001,-49.87999999999994,0.9978149253731363
7.0,-79.80000000000011,-49.874999999999936,1.997723880597017,-79.80000000000011,-49.874999999999936,0.997723880597017
7.1000000000000005,-79.79200000000012,-49.86999999999993,1.9976328358208977,-79.79200000000012,-49.86999999999993,0.9976328358208977
7.2,-79.78400000000012,-49.86499999999993,1.9975417910447784,-79.78400000000012,-49.86499999999993,0.9975417910447784
7.300000000000001,-79.77600000000012,-49.85999999999993,1.997450746268659,-79.77600000000012,-49.85999999999993,0.997450746268659
7.4,-79.76800000000013,-49.854999999999926,1.9973597014925397,-79.76800000000013,-49.854999999999926,0.9973597014925397
7.5,-79.76000000000013,-49.84999999999992,1.9972686567164204,-79.76000000000013,-49.84999999999992,0.9972686567164204
7.6000000000000005,-79.75200000000014,-49.84499999999992,1.997177611940301,-79.75200000000014,-49.84499999999992,0.9971776119403011
7.7,-79.74400000000014,-49.83999999999992,1.9970865671641818,-79.74400000000014,-49.83999999999992,0.9970865671641818
7.800000000000001,-79.73600000000015,-49.834999999999916,1.9969955223880624,-79.73600000000015,-49.834999999999916,0.9969955223880624
7.9,-79.72800000000015,-49.82999999999991,1.9969044776119431,-79.72800000000015,-49.82999999999991,0.9969044776119431
8.0,-79.72000000000016,-49.82499999999991,1.9968134328358238,-79.72000000000016,-49.82499999999991,0.9968134328358238
