run_id,trial_id,kp,time,x,y,z,error_x,error_y,error_z
20260903_230915,1,0.2,0.1,80.0,50.0,2.0,80.0,50.0,1.0
20260903_230915,1,0.2,0.2,80.0,50.0,2.0,80.0,50.0,1.0
20260903_230915,1,0.2,0.30000000000000004,80.0,50.0,2.0,80.0,50.0,1.0
20260903_230915,1,0.2,0.4,78.4,49.0,1.9817910447761193,78.4,49.0,0.9817910447761193
20260903_230915,1,0.2,0.5,76.84,48.02,1.9635820895522387,76.84,48.02,0.9635820895522387
20260903_230915,1,0.2,0.6000000000000001,75.32000000000001,47.06,1.945373134328358,75.32000000000001,47.06,0.945373134328358
20260903_230915,1,0.2,0.7000000000000001,73.82000000000001,46.120000000000005,1.9271641791044773,73.82000000000001,46.120000000000005,0.9271641791044773
20260903_230915,1,0.2,0.8,72.36000000000001,45.2,1.910062729829115,72.36000000000001,45.2,0.9100627298291151
20260903_230915,1,0.2,0.9,70.92000000000002,44.300000000000004,1.8929612805537528,70.92000000000002,44.300000000000004,0.8929612805537528
20260903_230915,1,0.2,1.0,69.52000000000001,43.42,1.8758598312783905,69.52000000000001,43.42,0.8758598312783905
20260903_230915,1,0.2,1.1,68.14000000000001,42.56,1.8598034932502214,68.14000000000001,42.56,0.8598034932502214
20260903_230915,1,0.2,1.2000000000000002,66.78000000000002,41.72,1.8437471552220523,66.78000000000002,41.72,0.8437471552220523
20260903_230915,1,0.2,1.3,65.46000000000001,40.9,1.8276908171938833,65.46000000000001,40.9,0.8276908171938833
20260903_230915,1,0.2,1.4000000000000001,64.16000000000001,40.1,1.8126223240431982,64.16000000000001,40.1,0.8126223240431982
20260903_230915,1,0.2,1.5,62.88000000000001,39.300000000000004,1.7975538308925132,62.88000000000001,39.300000000000004,0.7975538308925132
20260903_230915,1,0.2,1.6,61.64000000000001,38.52,1.7824853377418282,61.64000000000001,38.52,0.7824853377418282
20260903_230915,1,0.2,1.7000000000000002,60.42000000000001,37.760000000000005,1.7674168445911431,60.42000000000001,37.760000000000005,0.7674168445911431
20260903_230915,1,0.2,1.8,59.220000000000006,37.02,1.7532835112578098,59.220000000000006,37.02,0.7532835112578098
20260903_230915,1,0.2,1.9000000000000001,58.040000000000006,36.28,1.7391501779244765,58.040000000000006,36.28,0.7391501779244765
20260903_230915,1,0.2,2.0,56.88000000000001,35.56,1.7250168445911431,56.88000000000001,35.56,0.7250168445911431
20260903_230915,1,0.2,2.1,55.76000000000001,34.86,1.7117700913443898,55.76000000000001,34.86,0.7117700913443898
20260903_230915,1,0.2,2.2,54.66000000000001,34.18,1.6985233380976366,54.66000000000001,34.18,0.6985233380976366
20260903_230915,1,0.2,2.3000000000000003,53.58000000000001,33.5,1.6852765848508833,53.58000000000001,33.5,0.6852765848508833
20260903_230915,1,0.2,2.4000000000000004,52.52000000000001,32.84,1.67202983160413,52.52000000000001,32.84,0.67202983160413
20260903_230915,1,0.2,2.5,51.48000000000001,32.2,1.6596247683129908,51.48000000000001,32.2,0.6596247683129908
20260903_230915,1,0.2,2.6,50.46000000000001,31.560000000000002,1.6472197050218516,50.46000000000001,31.560000000000002,0.6472197050218516
20260903_230915,1,0.2,2.7,49.46000000000001,30.94,1.6348146417307123,49.46000000000001,30.94,0.6348146417307123
20260903_230915,1,0.2,2.8000000000000003,48.48000000000001,30.34,1.6232097034591073,48.48000000000001,30.34,0.6232097034591073
20260903_230915,1,0.2,2.9000000000000004,47.52000000000001,29.74,1.6116047651875023,47.52000000000001,29.74,0.6116047651875023
20260903_230915,1,0.2,3.0,46.58000000000001,29.159999999999997,1.5999998269158973,46.58000000000001,29.159999999999997,0.5999998269158973
20260903_230915,1,0.2,3.1,45.66000000000001,28.58,1.5891564534219214,45.66000000000001,28.58,0.5891564534219214
20260903_230915,1,0.2,3.2,44.76000000000001,28.02,1.5783130799279455,44.76000000000001,28.02,0.5783130799279455
20260903_230915,1,0.2,3.3000000000000003,43.88000000000001,27.46,1.5674697064339695,43.88000000000001,27.46,0.5674697064339695
20260903_230915,1,0.2,3.4000000000000004,43.00000000000001,26.900000000000002,1.5566263329399936,43.00000000000001,26.900000000000002,0.5566263329399936
20260903_230915,1,0.2,3.5,42.14000000000001,26.380000000000003,1.54650868588117,42.14000000000001,26.380000000000003,0.5465086858811701
20260903_230915,1,0.2,3.6,41.300000000000004,25.860000000000003,1.5363910388223465,41.300000000000004,25.860000000000003,0.5363910388223465
